VISIT_AREA_NM,SIDO,GUNGU,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD
탑정호 출렁다리,충남,논산시,7.0,47.142857142857146,4.142857142857143,0.1428571428571428,2.071428571428572,3.7142857142857135,,충남 논산시 가야곡면 종연리 155,127.1599536,36.18092438
하멜전시관,전남,여수시,3.0,42.0,3.4,0.0,1.0,3.2,전남 여수시 하멜로 96,전남 여수시 종화동 458-5,127.7485433,34.73669972
춘향테마파크,전북,남원시,6.0,58.57142857142857,3.6666666666666665,0.0952380952380952,1.6666666666666667,3.333333333333333,전북 남원시 양림길 14-9,전북 남원시 어현동 37-158,127.3870915,35.40124571
미나릿길벽화마을,충남,천안시,7.0,33.75,2.875,0.0,0.875,2.25,충남 천안시 동남구 미나릿길 17,충남 천안시 동남구 영성동 109-29,127.1517591,36.80075021
대동하늘공원,대전,동구,1.0,40.0,3.8333333333333335,0.0,0.6666666666666666,3.5,,대전 동구 용운동 산 40-1,127.4521045,36.33198066
간월암,충남,서산시,2.0,32.142857142857146,3.928571428571429,0.0714285714285714,2.571428571428572,3.571428571428572,충남 서산시 부석면 간월도1길 119-29,충남 서산시 부석면 간월도리 16-11,126.4111447,36.60374123
영랑생가,전남,강진군,2.0,30.0,4.4,0.4,0.6,4.2,전남 강진군 강진읍 영랑생가길 15,전남 강진군 강진읍 남성리 211-1,126.7653151,34.64226702
충장로거리,광주,동구,4.0,66.66666666666667,4.555555555555555,0.4444444444444444,1.3333333333333333,4.444444444444445,광주 동구 중앙로 지하 187,광주 동구 충장로3가 43,126.914533,35.14859821
대장봉,전북,군산시,1.0,73.63636363636364,4.5,0.0454545454545454,1.0454545454545454,4.363636363636363,,전북 군산시 옥도면 대장도리 산 1,126.3942256,35.81742155
남천교,전북,전주시,1.0,42.0,4.6,0.4,0.6,4.4,,전북 전주시 완산구 동서학동,127.1531732,35.81069215
부안누에타운,전북,부안군,13.0,65.0,3.8333333333333335,0.1666666666666666,2.6666666666666665,3.6666666666666665,전북 부안군 변산면 참뽕로 434-20,전북 부안군 변산면 마포리 87-26,126.5129335,35.63164452
